date,time,weight[g],accX,accY,accZ
2022-10-14,02:52:44:286,292.9,-0.1,-0.0,1.0
2022-10-14,02:52:44:471,292.7,-0.1,-0.0,1.0
2022-10-14,02:52:44:564,292.8,-0.1,-0.0,1.0
2022-10-14,02:52:44:657,292.7,-0.0,-0.0,1.0
2022-10-14,02:52:44:752,304.9,-0.1,-0.0,1.0
2022-10-14,02:52:44:845,292.3,-0.0,-0.0,1.0
2022-10-14,02:52:44:938,292.9,-0.0,-0.0,1.0
2022-10-14,02:52:45:033,292.9,-0.1,-0.0,1.0
2022-10-14,02:52:45:127,293.3,-0.1,-0.0,1.0
2022-10-14,02:52:45:219,291.2,-0.0,-0.0,1.0
2022-10-14,02:52:45:312,285.9,-0.1,-0.1,1.0
2022-10-14,02:52:45:407,232.2,-0.1,-0.0,1.0
2022-10-14,02:52:45:500,135.3,-0.1,-0.0,1.0
2022-10-14,02:52:45:593,141.0,-0.1,-0.1,1.0
2022-10-14,02:52:45:688,-3.9,-0.0,0.0,1.1
2022-10-14,02:52:45:781,-286.5,-0.1,-0.0,1.1
2022-10-14,02:52:45:874,-296.9,-0.1,-0.1,1.0
2022-10-14,02:52:45:967,-297.0,-0.0,-0.1,1.0
2022-10-14,02:52:46:060,-297.1,0.1,-0.1,1.0
2022-10-14,02:52:46:153,-297.2,0.2,-0.0,1.0
2022-10-14,02:52:46:245,-297.1,0.1,-0.1,1.0
2022-10-14,02:52:46:338,-297.3,0.2,-0.2,1.0
2022-10-14,02:52:46:433,-297.3,0.3,-0.2,1.0
2022-10-14,02:52:46:525,-297.3,0.3,-0.2,0.9
2022-10-14,02:52:46:618,-297.3,0.4,-0.3,0.8
2022-10-14,02:52:46:712,-297.2,0.5,-0.2,0.8
2022-10-14,02:52:46:805,-297.3,0.7,-0.2,0.8
2022-10-14,02:52:46:900,-297.3,0.7,-0.2,0.7
2022-10-14,02:52:46:994,-297.3,0.7,-0.3,0.7
2022-10-14,02:52:47:087,-297.3,0.7,-0.3,0.6
2022-10-14,02:52:47:181,-297.3,0.8,-0.3,0.6
2022-10-14,02:52:47:273,-297.4,0.7,-0.3,0.6
2022-10-14,02:52:47:367,-297.4,0.8,-0.3,0.5
2022-10-14,02:52:47:461,-297.3,0.8,-0.3,0.5
2022-10-14,02:52:47:554,-297.3,0.8,-0.3,0.5
2022-10-14,02:52:47:648,-297.3,0.8,-0.3,0.5
2022-10-14,02:52:47:741,-297.3,0.8,-0.3,0.5
2022-10-14,02:52:47:834,-297.3,0.8,-0.3,0.5
2022-10-14,02:52:47:926,-297.3,0.8,-0.3,0.5
2022-10-14,02:52:48:019,-297.3,0.8,-0.3,0.5
2022-10-14,02:52:48:112,-297.3,0.7,-0.2,0.7
2022-10-14,02:52:48:207,-297.4,0.7,-0.2,0.7
2022-10-14,02:52:48:300,-297.3,0.6,-0.2,0.8
2022-10-14,02:52:48:394,-297.3,0.5,-0.2,0.8
2022-10-14,02:52:48:487,-297.3,0.5,-0.1,0.8
2022-10-14,02:52:48:582,-297.3,0.5,-0.2,0.9
2022-10-14,02:52:48:675,-297.2,0.2,-0.2,0.9
2022-10-14,02:52:48:768,-297.3,0.2,-0.2,0.9
2022-10-14,02:52:48:862,-297.3,0.2,-0.2,0.9
2022-10-14,02:52:48:956,-297.2,0.1,-0.1,1.0
2022-10-14,02:52:49:049,-297.3,0.1,-0.1,1.0
2022-10-14,02:52:49:144,-297.3,-0.0,-0.1,1.0
2022-10-14,02:52:49:238,-297.3,0.1,-0.0,1.0
2022-10-14,02:52:49:331,-297.2,0.0,-0.0,1.0
2022-10-14,02:52:49:424,-297.3,0.0,-0.0,1.0
2022-10-14,02:52:49:517,-297.2,-0.1,-0.0,1.0
2022-10-14,02:52:49:610,-297.2,-0.0,-0.0,1.0
2022-10-14,02:52:49:704,-295.1,-0.1,-0.0,1.0
2022-10-14,02:52:49:797,-242.6,-0.2,-0.1,0.9
2022-10-14,02:52:49:890,-73.0,-0.0,-0.0,1.0
2022-10-14,02:52:49:983,99.1,-0.1,0.0,1.0
2022-10-14,02:52:50:076,217.8,-0.0,0.0,1.0
2022-10-14,02:52:50:171,240.5,-0.0,0.0,1.0
2022-10-14,02:52:50:264,222.8,-0.0,0.0,1.0
2022-10-14,02:52:50:357,225.1,-0.1,0.0,1.0
2022-10-14,02:52:50:449,227.2,-0.1,0.0,1.0
2022-10-14,02:52:50:543,224.8,-0.0,-0.0,1.0
2022-10-14,02:52:50:635,223.5,-0.0,-0.0,1.0
2022-10-14,02:52:50:730,227.1,-0.1,0.0,1.0
2022-10-14,02:52:50:822,226.2,-0.0,-0.0,1.0
2022-10-14,02:52:50:915,223.5,-0.1,0.0,1.0
2022-10-14,02:52:51:008,224.7,-0.0,0.0,1.0
2022-10-14,02:52:51:102,224.9,-0.1,0.0,1.0
2022-10-14,02:52:51:196,224.2,-0.0,-0.0,1.0
2022-10-14,02:52:51:290,224.9,-0.0,0.0,1.0
2022-10-14,02:52:51:384,224.4,-0.1,0.0,1.0
2022-10-14,02:52:51:477,224.8,-0.0,0.0,1.0
2022-10-14,02:52:51:571,224.4,-0.0,0.0,1.0
2022-10-14,02:52:51:663,224.8,-0.1,0.0,1.0
2022-10-14,02:52:51:757,224.7,-0.0,0.0,1.0
2022-10-14,02:52:51:852,224.3,-0.0,-0.0,1.0
2022-10-14,02:52:51:942,224.4,-0.1,0.0,1.0
2022-10-14,02:52:52:036,224.4,-0.0,-0.0,1.0
