date,time,weight[g],accX,accY,accZ
2022-10-14,02:53:04:541,224.5,-0.0,0.0,1.0
2022-10-14,02:53:04:700,224.6,-0.0,0.0,1.0
2022-10-14,02:53:04:788,224.4,-0.0,0.0,1.0
2022-10-14,02:53:04:881,224.6,-0.0,0.0,1.0
2022-10-14,02:53:04:975,224.7,-0.1,-0.0,1.0
2022-10-14,02:53:05:069,224.7,-0.0,0.0,1.0
2022-10-14,02:53:05:161,224.6,-0.0,0.0,1.0
2022-10-14,02:53:05:254,224.4,-0.0,0.0,1.0
2022-10-14,02:53:05:349,224.4,-0.0,0.0,1.0
2022-10-14,02:53:05:443,224.6,-0.0,0.0,1.0
2022-10-14,02:53:05:537,224.6,-0.0,0.0,1.0
2022-10-14,02:53:05:630,224.5,-0.0,0.0,1.0
2022-10-14,02:53:05:721,224.5,-0.0,0.0,1.0
2022-10-14,02:53:05:815,224.7,-0.0,0.0,1.0
2022-10-14,02:53:05:909,224.6,-0.0,0.0,1.0
2022-10-14,02:53:06:002,224.6,-0.0,0.0,1.0
2022-10-14,02:53:06:095,224.6,-0.0,0.0,1.0
2022-10-14,02:53:06:188,224.7,-0.0,-0.0,1.0
2022-10-14,02:53:06:281,228.6,-0.1,-0.0,1.0
2022-10-14,02:53:06:375,228.2,-0.0,-0.0,1.0
2022-10-14,02:53:06:470,223.8,-0.1,0.0,1.0
2022-10-14,02:53:06:566,227.8,-0.1,0.0,1.0
2022-10-14,02:53:06:660,230.5,-0.1,0.0,1.0
2022-10-14,02:53:06:753,237.9,0.0,-0.0,1.0
2022-10-14,02:53:06:848,224.9,-0.0,-0.0,1.0
2022-10-14,02:53:06:940,170.3,-0.0,0.0,1.0
2022-10-14,02:53:07:034,-29.3,-0.1,0.1,1.1
2022-10-14,02:53:07:127,-287.1,-0.3,-0.0,1.1
2022-10-14,02:53:07:221,-297.0,-0.1,-0.1,1.1
2022-10-14,02:53:07:313,-297.1,-0.1,-0.0,1.0
2022-10-14,02:53:07:406,-297.1,-0.1,-0.1,0.9
2022-10-14,02:53:07:500,-297.2,-0.0,-0.0,0.9
2022-10-14,02:53:07:594,-297.2,-0.0,-0.1,0.9
2022-10-14,02:53:07:688,-297.3,-0.0,-0.1,0.9
2022-10-14,02:53:07:781,-297.3,0.0,-0.1,1.0
2022-10-14,02:53:07:873,-297.3,0.1,-0.1,0.9
2022-10-14,02:53:07:968,-297.3,0.1,-0.0,1.0
2022-10-14,02:53:08:060,-297.3,0.3,0.0,1.1
2022-10-14,02:53:08:152,-297.3,0.4,-0.1,0.9
2022-10-14,02:53:08:245,-297.3,0.7,0.0,0.9
2022-10-14,02:53:08:339,-297.3,0.6,-0.1,0.9
2022-10-14,02:53:08:432,-297.2,0.6,-0.1,0.8
2022-10-14,02:53:08:527,-297.2,0.7,-0.2,0.7
2022-10-14,02:53:08:621,-297.3,0.8,-0.1,0.6
2022-10-14,02:53:08:713,-297.2,0.8,-0.2,0.5
2022-10-14,02:53:08:805,-297.3,0.9,-0.2,0.4
2022-10-14,02:53:08:900,-297.3,0.9,-0.2,0.4
2022-10-14,02:53:08:992,-297.3,0.9,-0.2,0.4
2022-10-14,02:53:09:089,-297.2,0.9,-0.2,0.4
2022-10-14,02:53:09:182,-297.3,0.9,-0.2,0.3
2022-10-14,02:53:09:275,-297.3,0.9,-0.2,0.4
2022-10-14,02:53:09:369,-297.3,0.8,-0.2,0.5
2022-10-14,02:53:09:464,-297.3,0.8,-0.2,0.6
2022-10-14,02:53:09:555,-297.2,0.7,-0.1,0.7
2022-10-14,02:53:09:648,-297.3,0.7,-0.1,0.8
2022-10-14,02:53:09:741,-297.4,0.6,-0.1,0.8
2022-10-14,02:53:09:833,-297.4,0.6,-0.0,0.9
2022-10-14,02:53:09:927,-297.3,0.4,-0.1,0.9
2022-10-14,02:53:10:020,-297.4,0.3,-0.1,0.9
2022-10-14,02:53:10:111,-297.3,0.3,-0.2,0.9
2022-10-14,02:53:10:204,-297.3,0.3,-0.1,0.9
2022-10-14,02:53:10:299,-297.3,0.3,-0.1,1.0
2022-10-14,02:53:10:394,-297.3,0.1,-0.2,1.0
2022-10-14,02:53:10:487,-297.2,0.1,-0.1,1.0
2022-10-14,02:53:10:581,-297.3,0.1,-0.1,1.1
2022-10-14,02:53:10:675,-297.3,0.1,-0.1,1.0
2022-10-14,02:53:10:768,-297.3,-0.0,-0.1,1.0
2022-10-14,02:53:10:860,-297.3,-0.1,-0.1,1.0
2022-10-14,02:53:10:956,-297.2,-0.1,-0.1,1.0
2022-10-14,02:53:11:050,-297.2,0.0,-0.0,1.0
2022-10-14,02:53:11:144,-297.1,-0.0,-0.1,1.0
2022-10-14,02:53:11:237,-296.3,-0.0,0.1,1.1
2022-10-14,02:53:11:329,-255.6,-0.0,-0.1,0.9
2022-10-14,02:53:11:423,-179.1,-0.0,0.0,1.0
2022-10-14,02:53:11:516,37.2,-0.2,0.0,1.0
2022-10-14,02:53:11:608,123.5,0.0,0.1,1.0
2022-10-14,02:53:11:702,164.1,-0.1,0.0,1.0
2022-10-14,02:53:11:795,165.9,-0.0,0.0,1.0
2022-10-14,02:53:11:889,165.0,-0.0,0.0,1.0
2022-10-14,02:53:11:984,164.9,-0.1,0.0,1.0
2022-10-14,02:53:12:077,164.7,-0.1,0.0,1.0
2022-10-14,02:53:12:170,164.6,-0.1,0.0,1.0
