date,time,weight[g],accX,accY,accZ
2022-10-18,12:08:09:517,170.7,-0.1,-0.0,1.0
2022-10-18,12:08:09:621,170.6,-0.1,-0.0,1.0
2022-10-18,12:08:09:670,170.6,-0.0,-0.0,1.0
2022-10-18,12:08:09:733,170.5,-0.1,-0.0,1.0
2022-10-18,12:08:09:804,170.6,-0.1,-0.0,1.0
2022-10-18,12:08:09:875,170.5,-0.1,-0.0,1.0
2022-10-18,12:08:09:948,170.6,-0.1,-0.0,1.0
2022-10-18,12:08:10:007,170.6,-0.1,-0.0,1.0
2022-10-18,12:08:10:067,170.5,-0.0,-0.0,1.0
2022-10-18,12:08:10:139,170.6,-0.0,-0.0,1.0
2022-10-18,12:08:10:197,170.6,-0.1,-0.0,1.0
2022-10-18,12:08:10:261,170.6,-0.1,-0.0,1.0
2022-10-18,12:08:10:332,170.3,-0.0,-0.0,1.0
2022-10-18,12:08:10:392,168.6,-0.1,0.1,1.0
2022-10-18,12:08:10:451,162.2,-0.0,-0.1,1.0
2022-10-18,12:08:10:510,135.8,-0.2,0.1,1.0
2022-10-18,12:08:10:570,61.8,-0.1,0.0,1.0
2022-10-18,12:08:10:640,-133.8,-0.2,-0.1,1.0
2022-10-18,12:08:10:701,-288.5,-0.2,0.2,1.3
2022-10-18,12:08:10:761,-295.4,-0.2,-0.1,1.1
2022-10-18,12:08:10:832,-295.5,-0.2,-0.1,1.1
2022-10-18,12:08:10:907,-295.6,-0.0,-0.1,1.0
2022-10-18,12:08:10:965,-295.7,0.1,0.0,1.0
2022-10-18,12:08:11:026,-295.7,-0.0,-0.1,0.9
2022-10-18,12:08:11:097,-295.9,0.1,0.0,0.9
2022-10-18,12:08:11:182,-296.8,0.2,-0.0,0.9
2022-10-18,12:08:11:242,-297.8,0.2,-0.1,0.9
2022-10-18,12:08:11:314,-296.7,0.2,-0.0,1.0
2022-10-18,12:08:11:386,-297.5,0.2,-0.1,0.9
2022-10-18,12:08:11:444,-298.6,0.3,-0.0,1.0
2022-10-18,12:08:11:503,-299.4,0.3,-0.1,0.9
2022-10-18,12:08:11:566,-298.8,0.3,-0.0,0.9
2022-10-18,12:08:11:636,-298.7,0.3,0.0,1.0
2022-10-18,12:08:11:695,-298.5,0.3,-0.0,0.9
2022-10-18,12:08:11:755,-298.7,0.3,-0.0,0.9
2022-10-18,12:08:11:818,-298.6,0.4,0.1,1.0
2022-10-18,12:08:11:877,-298.6,0.4,-0.0,0.9
2022-10-18,12:08:11:934,-298.5,0.5,0.0,0.9
2022-10-18,12:08:11:994,-298.4,0.5,0.0,0.9
2022-10-18,12:08:12:055,-298.5,0.6,0.1,0.9
2022-10-18,12:08:12:115,-298.5,0.7,0.1,0.9
2022-10-18,12:08:12:188,-298.4,0.5,-0.0,0.8
2022-10-18,12:08:12:274,-298.4,0.8,-0.0,0.7
2022-10-18,12:08:12:332,-298.4,0.8,0.1,0.8
2022-10-18,12:08:12:392,-298.4,0.7,-0.1,0.6
2022-10-18,12:08:12:462,-298.3,0.9,0.1,0.6
2022-10-18,12:08:12:523,-298.5,0.8,-0.0,0.6
2022-10-18,12:08:12:583,-298.3,0.9,-0.0,0.6
2022-10-18,12:08:12:641,-298.3,0.9,0.0,0.5
2022-10-18,12:08:12:717,-298.3,0.9,-0.0,0.5
2022-10-18,12:08:12:786,-298.3,0.9,-0.0,0.4
2022-10-18,12:08:12:846,-298.2,1.0,-0.0,0.4
2022-10-18,12:08:12:920,-298.3,1.0,-0.0,0.4
2022-10-18,12:08:12:978,-298.3,1.0,-0.0,0.4
2022-10-18,12:08:13:039,-298.3,1.0,-0.0,0.4
2022-10-18,12:08:13:099,-298.3,1.0,-0.0,0.3
2022-10-18,12:08:13:161,-298.2,1.0,-0.0,0.3
2022-10-18,12:08:13:220,-298.1,1.0,-0.0,0.3
2022-10-18,12:08:13:279,-298.1,1.0,-0.0,0.3
2022-10-18,12:08:13:338,-298.3,1.0,-0.0,0.3
2022-10-18,12:08:13:399,-298.2,1.0,-0.0,0.3
2022-10-18,12:08:13:469,-298.3,0.9,-0.0,0.4
2022-10-18,12:08:13:529,-298.3,0.9,-0.0,0.4
2022-10-18,12:08:13:590,-298.2,0.9,-0.0,0.5
2022-10-18,12:08:13:649,-298.1,1.0,-0.0,0.4
2022-10-18,12:08:13:710,-298.2,0.9,0.0,0.6
2022-10-18,12:08:13:795,-298.2,0.9,-0.0,0.5
2022-10-18,12:08:13:881,-297.9,0.9,0.0,0.6
2022-10-18,12:08:13:939,-297.3,0.9,0.0,0.6
2022-10-18,12:08:13:999,-297.0,0.8,0.0,0.6
2022-10-18,12:08:14:059,-297.0,0.8,0.0,0.7
2022-10-18,12:08:14:118,-297.1,0.7,0.0,0.7
2022-10-18,12:08:14:188,-297.2,0.7,0.0,0.7
2022-10-18,12:08:14:249,-297.3,0.6,-0.1,0.7
2022-10-18,12:08:14:308,-297.1,0.6,0.0,0.8
2022-10-18,12:08:14:382,-296.7,0.5,-0.1,0.8
2022-10-18,12:08:14:451,-296.7,0.4,-0.0,0.8
2022-10-18,12:08:14:524,-296.5,0.4,-0.1,0.9
2022-10-18,12:08:14:585,-296.5,0.3,-0.1,0.9
2022-10-18,12:08:14:644,-296.6,0.3,-0.1,0.9
2022-10-18,12:08:14:704,-296.7,0.2,-0.1,0.9
2022-10-18,12:08:14:765,-296.5,0.2,-0.1,1.0
2022-10-18,12:08:14:834,-296.5,0.1,-0.1,1.0
2022-10-18,12:08:14:897,-296.6,0.0,-0.2,1.0
2022-10-18,12:08:14:957,-296.4,0.1,-0.2,1.0
2022-10-18,12:08:15:013,-296.4,0.1,-0.1,1.1
2022-10-18,12:08:15:074,-296.5,-0.1,-0.1,1.1
2022-10-18,12:08:15:138,-296.5,-0.0,-0.1,1.1
2022-10-18,12:08:15:195,-296.5,-0.0,-0.1,1.0
