date,time,weight[g],accX,accY,accZ
2022-10-15,11:41:22:659,362.2,-0.1,0.0,1.0
2022-10-15,11:41:22:772,362.3,-0.1,0.0,1.0
2022-10-15,11:41:22:826,362.1,-0.1,0.0,1.0
2022-10-15,11:41:22:884,362.1,-0.1,0.0,1.0
2022-10-15,11:41:22:942,362.2,-0.1,-0.0,1.0
2022-10-15,11:41:23:004,362.2,-0.1,-0.0,1.0
2022-10-15,11:41:23:065,362.1,-0.1,0.0,1.0
2022-10-15,11:41:23:146,362.1,-0.1,-0.0,1.0
2022-10-15,11:41:23:208,362.2,-0.1,0.0,1.0
2022-10-15,11:41:23:290,362.1,-0.1,0.0,1.0
2022-10-15,11:41:23:349,362.1,-0.1,0.0,1.0
2022-10-15,11:41:23:410,362.2,-0.1,0.0,1.0
2022-10-15,11:41:23:470,362.2,-0.1,0.0,1.0
2022-10-15,11:41:23:531,362.1,-0.1,0.0,1.0
2022-10-15,11:41:23:616,362.2,-0.1,0.0,1.0
2022-10-15,11:41:23:675,362.2,-0.1,0.0,1.0
2022-10-15,11:41:23:747,362.0,-0.1,0.0,1.0
2022-10-15,11:41:23:806,362.3,-0.1,-0.0,1.0
2022-10-15,11:41:23:867,362.2,-0.1,0.0,1.0
2022-10-15,11:41:23:928,362.1,-0.1,-0.0,1.0
2022-10-15,11:41:24:012,362.1,-0.1,0.0,1.0
2022-10-15,11:41:24:071,362.2,-0.1,-0.0,1.0
2022-10-15,11:41:24:141,362.2,-0.1,0.0,1.0
2022-10-15,11:41:24:200,362.2,-0.1,0.0,1.0
2022-10-15,11:41:24:260,362.3,-0.1,0.0,1.0
2022-10-15,11:41:24:322,361.8,-0.1,-0.0,1.0
2022-10-15,11:41:24:380,362.3,-0.1,0.0,1.0
2022-10-15,11:41:24:439,362.4,-0.1,0.0,1.0
2022-10-15,11:41:24:501,362.0,-0.1,-0.0,1.0
2022-10-15,11:41:24:559,362.0,-0.1,0.0,1.0
2022-10-15,11:41:24:620,362.2,-0.1,-0.0,1.0
2022-10-15,11:41:24:679,364.3,-0.0,0.0,1.0
2022-10-15,11:41:24:741,363.3,-0.1,0.0,1.0
2022-10-15,11:41:24:800,372.4,-0.1,-0.0,1.0
2022-10-15,11:41:24:874,392.0,-0.2,0.0,1.0
2022-10-15,11:41:24:930,373.1,-0.1,0.0,1.0
2022-10-15,11:41:24:991,220.9,0.0,-0.0,1.0
2022-10-15,11:41:25:051,-85.9,-0.2,-0.0,1.0
2022-10-15,11:41:25:112,-258.5,-0.2,0.0,1.1
2022-10-15,11:41:25:205,-297.5,-0.2,-0.1,1.0
2022-10-15,11:41:25:265,-297.5,-0.2,-0.1,1.0
2022-10-15,11:41:25:327,-297.7,-0.1,-0.0,1.1
2022-10-15,11:41:25:386,-297.7,-0.2,-0.1,1.0
2022-10-15,11:41:25:446,-297.8,-0.1,-0.0,1.0
2022-10-15,11:41:25:506,-297.6,-0.0,-0.0,1.0
2022-10-15,11:41:25:565,-297.8,-0.0,-0.0,0.9
2022-10-15,11:41:25:628,-298.2,0.0,0.0,1.0
2022-10-15,11:41:25:684,-298.6,0.2,0.0,1.0
2022-10-15,11:41:25:747,-298.9,0.2,0.0,1.0
2022-10-15,11:41:25:806,-298.8,0.1,-0.0,0.9
2022-10-15,11:41:25:877,-298.8,0.1,0.0,1.0
2022-10-15,11:41:25:939,-298.1,0.2,-0.0,1.0
2022-10-15,11:41:25:998,-298.7,0.2,-0.0,0.9
2022-10-15,11:41:26:055,-298.8,0.2,0.0,1.0
2022-10-15,11:41:26:117,-298.7,0.2,0.0,1.0
2022-10-15,11:41:26:176,-298.6,0.3,0.1,1.0
2022-10-15,11:41:26:236,-298.6,0.2,0.0,1.0
2022-10-15,11:41:26:297,-298.9,0.3,0.0,0.9
2022-10-15,11:41:26:356,-299.0,0.3,0.1,1.0
2022-10-15,11:41:26:416,-299.1,0.3,0.0,0.9
2022-10-15,11:41:26:474,-299.1,0.4,0.1,1.0
2022-10-15,11:41:26:537,-299.0,0.3,0.0,0.9
2022-10-15,11:41:26:596,-299.3,0.4,0.1,1.0
2022-10-15,11:41:26:667,-299.2,0.4,0.1,0.9
2022-10-15,11:41:26:728,-299.1,0.4,0.1,0.9
2022-10-15,11:41:26:798,-298.9,0.5,0.1,0.9
2022-10-15,11:41:26:885,-298.8,0.6,0.1,0.8
2022-10-15,11:41:26:945,-298.9,0.5,0.1,0.8
2022-10-15,11:41:27:003,-298.9,0.6,0.1,0.8
2022-10-15,11:41:27:062,-298.8,0.6,0.1,0.7
2022-10-15,11:41:27:121,-298.8,0.7,0.1,0.7
2022-10-15,11:41:27:183,-298.7,0.7,0.1,0.7
2022-10-15,11:41:27:255,-298.7,0.7,0.1,0.6
2022-10-15,11:41:27:313,-298.7,0.8,0.2,0.7
2022-10-15,11:41:27:374,-298.7,0.8,0.1,0.6
2022-10-15,11:41:27:435,-298.7,0.8,0.2,0.6
2022-10-15,11:41:27:506,-298.7,0.8,0.1,0.6
2022-10-15,11:41:27:576,-298.8,0.8,0.1,0.6
