date,time,weight[g],accX,accY,accZ
2022-10-14,02:48:52:389,-1.2,-0.0,0.0,1.0
2022-10-14,02:48:52:526,-1.2,-0.0,0.0,1.0
2022-10-14,02:48:52:619,-1.1,-0.0,0.0,1.0
2022-10-14,02:48:52:712,-1.1,-0.0,0.0,1.0
2022-10-14,02:48:52:805,-1.2,-0.0,0.0,1.0
2022-10-14,02:48:52:899,-1.1,-0.0,-0.0,1.0
2022-10-14,02:48:52:993,0.5,-0.2,0.0,1.0
2022-10-14,02:48:53:086,-0.0,-0.1,0.0,1.0
2022-10-14,02:48:53:180,-0.3,-0.2,0.0,0.9
2022-10-14,02:48:53:274,-163.3,-0.2,0.3,1.0
2022-10-14,02:48:53:368,-296.7,-0.1,0.4,0.9
2022-10-14,02:48:53:462,-297.2,-0.0,0.3,0.9
2022-10-14,02:48:53:555,-297.3,-0.3,0.2,1.0
2022-10-14,02:48:53:648,-297.3,-0.5,-0.0,0.9
2022-10-14,02:48:53:741,-297.3,-0.2,-0.2,0.8
2022-10-14,02:48:53:835,-297.4,0.6,0.1,1.1
2022-10-14,02:48:53:928,-297.3,-0.0,-0.4,0.7
2022-10-14,02:48:54:021,-297.2,0.2,0.2,0.9
2022-10-14,02:48:54:114,-297.2,0.4,0.4,1.1
2022-10-14,02:48:54:207,-297.3,0.4,0.0,0.8
2022-10-14,02:48:54:301,-297.3,0.9,-0.3,0.7
2022-10-14,02:48:54:394,-297.2,0.6,-0.4,0.7
2022-10-14,02:48:54:487,-297.3,0.5,-0.5,0.7
2022-10-14,02:48:54:581,-297.3,0.5,-0.5,0.7
2022-10-14,02:48:54:673,-297.3,0.5,-0.5,0.7
2022-10-14,02:48:54:768,-297.3,0.6,-0.7,0.6
2022-10-14,02:48:54:862,-297.2,0.7,-0.7,0.6
2022-10-14,02:48:54:955,-297.4,-0.4,-0.7,0.5
2022-10-14,02:48:55:048,-297.3,-0.4,-0.7,0.7
2022-10-14,02:48:55:143,-297.3,-0.0,-0.5,0.8
2022-10-14,02:48:55:237,-297.2,0.3,0.0,1.0
2022-10-14,02:48:55:330,-297.3,0.6,0.3,1.1
2022-10-14,02:48:55:424,-297.3,0.3,0.4,1.1
2022-10-14,02:48:55:516,-297.3,0.1,-0.2,0.8
2022-10-14,02:48:55:610,-297.4,-0.1,0.3,1.2
2022-10-14,02:48:55:704,-297.3,-0.4,-0.1,1.0
2022-10-14,02:48:55:797,-297.3,-0.3,-0.5,0.9
2022-10-14,02:48:55:891,-297.4,-0.1,-0.1,1.1
2022-10-14,02:48:55:985,-297.2,0.3,-0.1,1.0
2022-10-14,02:48:56:077,-297.3,0.5,-0.4,0.8
2022-10-14,02:48:56:170,-297.3,0.4,-0.4,0.8
2022-10-14,02:48:56:264,-297.3,0.2,-0.5,0.5
2022-10-14,02:48:56:357,-297.3,0.4,-0.3,0.5
2022-10-14,02:48:56:450,-297.4,0.2,0.4,0.9
2022-10-14,02:48:56:543,-297.3,0.3,0.5,0.9
2022-10-14,02:48:56:636,-297.4,0.1,0.6,1.0
2022-10-14,02:48:56:730,-297.4,-0.1,0.5,1.1
2022-10-14,02:48:56:822,-297.4,-0.4,0.3,1.1
2022-10-14,02:48:56:916,-297.3,-0.8,0.2,1.0
2022-10-14,02:48:57:008,-297.3,-0.0,-0.2,0.8
2022-10-14,02:48:57:102,-297.3,0.3,0.1,1.0
2022-10-14,02:48:57:196,-297.3,0.0,-0.3,1.0
2022-10-14,02:48:57:290,-297.3,-0.1,-0.4,1.1
2022-10-14,02:48:57:382,-297.3,0.2,-0.3,0.9
2022-10-14,02:48:57:475,-297.3,0.3,-0.7,0.7
2022-10-14,02:48:57:571,-297.3,0.1,-0.7,0.6
2022-10-14,02:48:57:664,-297.3,-0.1,-0.8,0.6
2022-10-14,02:48:57:756,-297.3,-0.1,-0.7,0.7
2022-10-14,02:48:57:850,-297.2,-0.1,-0.7,0.7
2022-10-14,02:48:57:943,-297.3,-0.0,-0.8,0.6
2022-10-14,02:48:58:037,-297.4,0.2,-0.6,0.7
2022-10-14,02:48:58:129,-297.3,-0.2,-0.3,0.9
2022-10-14,02:48:58:224,-297.3,0.0,0.2,1.2
2022-10-14,02:48:58:316,-297.3,-0.1,-0.0,1.1
2022-10-14,02:48:58:408,-297.2,0.1,-0.1,0.8
2022-10-14,02:48:58:503,-297.3,0.1,-0.1,0.9
2022-10-14,02:48:58:598,-297.3,-0.3,-0.2,1.1
2022-10-14,02:48:58:689,-297.4,-0.2,-0.1,1.0
2022-10-14,02:48:58:782,-297.3,0.0,-0.1,0.9
2022-10-14,02:48:58:875,-297.2,-0.1,-0.1,1.0
2022-10-14,02:48:58:968,-297.2,-0.0,-0.1,1.0
2022-10-14,02:48:59:060,-297.3,-0.1,-0.1,1.0
2022-10-14,02:48:59:152,-297.3,0.0,-0.1,0.8
2022-10-14,02:48:59:246,-296.8,0.1,0.3,0.9
2022-10-14,02:48:59:338,-107.1,-0.0,0.1,1.1
2022-10-14,02:48:59:432,-5.3,-0.1,0.0,1.0
2022-10-14,02:48:59:525,-0.8,0.0,-0.0,1.0
2022-10-14,02:48:59:618,-0.3,-0.1,0.0,1.0
2022-10-14,02:48:59:715,0.9,-0.0,-0.0,1.0
2022-10-14,02:48:59:809,-0.6,-0.0,-0.0,1.0
2022-10-14,02:48:59:903,0.6,-0.1,0.0,1.0
2022-10-14,02:48:59:997,0.9,-0.0,0.0,1.0
2022-10-14,02:49:00:090,-0.3,-0.0,0.0,1.0
2022-10-14,02:49:00:183,0.1,-0.0,0.0,1.0
2022-10-14,02:49:00:275,-0.6,-0.0,0.0,1.0
