date,time,weight[g],accX,accY,accZ
2022-10-14,02:57:15:521,87.7,-0.0,0.0,1.0
2022-10-14,02:57:15:662,88.0,-0.0,0.0,1.0
2022-10-14,02:57:15:753,87.9,-0.0,0.0,1.0
2022-10-14,02:57:15:847,87.9,-0.0,0.0,1.0
2022-10-14,02:57:15:939,87.7,-0.1,0.0,1.0
2022-10-14,02:57:16:033,87.8,-0.0,0.0,1.0
2022-10-14,02:57:16:126,87.6,-0.1,0.0,1.0
2022-10-14,02:57:16:220,88.1,-0.0,0.0,1.0
2022-10-14,02:57:16:314,88.3,-0.0,0.0,1.0
2022-10-14,02:57:16:406,88.2,-0.0,0.0,1.0
2022-10-14,02:57:16:499,88.1,-0.1,0.0,1.0
2022-10-14,02:57:16:592,87.4,-0.1,0.0,1.0
2022-10-14,02:57:16:683,87.1,-0.0,0.0,1.0
2022-10-14,02:57:16:778,88.1,-0.0,0.0,1.0
2022-10-14,02:57:16:874,87.7,-0.0,0.0,1.0
2022-10-14,02:57:16:970,88.2,-0.0,0.0,1.0
2022-10-14,02:57:17:064,88.3,-0.1,0.0,1.0
2022-10-14,02:57:17:158,87.5,-0.0,0.0,1.0
2022-10-14,02:57:17:252,87.4,-0.0,0.0,1.0
2022-10-14,02:57:17:345,87.5,-0.0,0.0,1.0
2022-10-14,02:57:17:438,88.0,-0.0,0.0,1.0
2022-10-14,02:57:17:534,88.1,-0.1,0.0,1.0
2022-10-14,02:57:17:626,90.2,-0.1,0.0,1.0
2022-10-14,02:57:17:719,82.9,-0.3,0.1,1.0
2022-10-14,02:57:17:811,39.2,0.2,0.0,1.0
2022-10-14,02:57:17:905,-235.0,-0.2,0.0,1.2
2022-10-14,02:57:17:998,-296.9,-0.1,0.0,1.0
2022-10-14,02:57:18:091,-296.9,0.0,0.0,1.0
2022-10-14,02:57:18:184,-297.2,0.1,0.0,1.0
2022-10-14,02:57:18:278,-297.1,0.2,-0.0,1.0
2022-10-14,02:57:18:373,-297.2,0.2,-0.1,1.0
2022-10-14,02:57:18:465,-297.2,0.3,-0.2,1.0
2022-10-14,02:57:18:559,-297.2,0.4,-0.3,0.9
2022-10-14,02:57:18:652,-297.2,0.4,-0.3,0.8
2022-10-14,02:57:18:745,-297.2,0.5,-0.3,0.8
2022-10-14,02:57:18:838,-297.3,0.5,-0.3,0.8
2022-10-14,02:57:18:931,-297.3,0.7,-0.5,0.7
2022-10-14,02:57:19:025,-297.3,0.6,-0.4,0.7
2022-10-14,02:57:19:118,-297.3,0.7,-0.4,0.6
2022-10-14,02:57:19:213,-297.2,0.7,-0.4,0.6
2022-10-14,02:57:19:307,-297.2,0.7,-0.5,0.5
2022-10-14,02:57:19:402,-297.3,0.8,-0.5,0.5
2022-10-14,02:57:19:496,-297.3,0.8,-0.5,0.4
2022-10-14,02:57:19:589,-297.3,0.8,-0.5,0.4
2022-10-14,02:57:19:682,-297.3,0.8,-0.5,0.4
2022-10-14,02:57:19:774,-297.2,0.8,-0.5,0.3
2022-10-14,02:57:19:868,-297.2,0.9,-0.5,0.3
2022-10-14,02:57:19:962,-297.2,0.9,-0.5,0.3
2022-10-14,02:57:20:055,-297.2,0.8,-0.5,0.3
2022-10-14,02:57:20:151,-297.4,0.8,-0.5,0.2
2022-10-14,02:57:20:243,-297.3,0.8,-0.5,0.3
2022-10-14,02:57:20:335,-297.3,0.9,-0.5,0.2
2022-10-14,02:57:20:429,-297.4,0.9,-0.5,0.2
2022-10-14,02:57:20:521,-297.3,0.8,-0.5,0.3
2022-10-14,02:57:20:615,-297.3,0.8,-0.5,0.4
2022-10-14,02:57:20:707,-297.3,0.9,-0.5,0.3
2022-10-14,02:57:20:800,-297.2,0.9,-0.5,0.2
2022-10-14,02:57:20:894,-297.4,0.9,-0.5,0.2
2022-10-14,02:57:20:987,-297.3,0.9,-0.5,0.2
2022-10-14,02:57:21:080,-297.3,0.9,-0.5,0.2
2022-10-14,02:57:21:173,-297.3,0.9,-0.5,0.2
2022-10-14,02:57:21:267,-297.3,0.9,-0.5,0.3
2022-10-14,02:57:21:360,-297.3,0.8,-0.4,0.4
2022-10-14,02:57:21:453,-297.2,0.8,-0.5,0.4
2022-10-14,02:57:21:546,-297.3,0.7,-0.5,0.5
2022-10-14,02:57:21:640,-297.3,0.7,-0.5,0.6
2022-10-14,02:57:21:733,-297.3,0.6,-0.5,0.6
2022-10-14,02:57:21:825,-297.3,0.5,-0.3,0.8
2022-10-14,02:57:21:918,-297.4,0.5,-0.3,0.8
2022-10-14,02:57:22:013,-297.4,0.4,-0.2,0.8
2022-10-14,02:57:22:107,-297.3,0.3,-0.1,0.9
2022-10-14,02:57:22:201,-297.3,0.1,-0.0,1.0
2022-10-14,02:57:22:295,-297.3,0.1,0.0,1.0
2022-10-14,02:57:22:388,-297.3,0.0,-0.0,1.0
2022-10-14,02:57:22:481,-297.3,-0.0,0.1,1.1
2022-10-14,02:57:22:574,-297.3,-0.1,0.0,1.1
2022-10-14,02:57:22:666,-297.3,-0.1,0.1,1.0
2022-10-14,02:57:22:758,-297.3,-0.1,0.1,1.1
2022-10-14,02:57:22:852,-297.3,-0.1,-0.0,1.1
2022-10-14,02:57:22:946,-297.2,-0.2,0.0,1.1
2022-10-14,02:57:23:040,-297.2,-0.0,0.0,1.1
2022-10-14,02:57:23:133,-297.3,0.1,-0.0,1.0
2022-10-14,02:57:23:226,-297.4,0.2,-0.1,0.9
2022-10-14,02:57:23:320,-297.3,0.4,-0.2,0.8
2022-10-14,02:57:23:414,-297.3,0.5,-0.3,0.7
2022-10-14,02:57:23:509,-297.3,0.6,-0.3,0.7
2022-10-14,02:57:23:602,-297.2,0.7,-0.4,0.5
2022-10-14,02:57:23:695,-297.3,0.7,-0.3,0.6
2022-10-14,02:57:23:789,-297.3,0.8,-0.5,0.5
2022-10-14,02:57:23:882,-297.3,0.8,-0.5,0.4
2022-10-14,02:57:23:976,-297.3,0.8,-0.4,0.4
2022-10-14,02:57:24:069,646.4,0.9,-0.4,0.3
2022-10-14,02:57:24:162,-297.3,0.9,-0.5,0.3
2022-10-14,02:57:24:256,-297.3,0.9,-0.5,0.2
2022-10-14,02:57:24:351,-297.4,0.9,-0.5,0.1
2022-10-14,02:57:24:447,-297.3,0.9,-0.4,0.1
2022-10-14,02:57:24:540,-297.4,0.9,-0.5,0.1
2022-10-14,02:57:24:634,-297.2,0.9,-0.5,0.1
2022-10-14,02:57:24:728,-297.4,0.9,-0.5,0.1
2022-10-14,02:57:24:822,-297.3,0.9,-0.5,0.1
