date,time,weight[g],accX,accY,accZ
2022-10-15,11:55:05:025,108.8,-0.1,-0.0,1.0
2022-10-15,11:55:05:121,108.9,-0.1,-0.0,1.0
2022-10-15,11:55:05:175,108.8,-0.1,-0.0,1.0
2022-10-15,11:55:05:234,108.6,-0.1,-0.0,1.0
2022-10-15,11:55:05:296,108.6,-0.1,-0.0,1.0
2022-10-15,11:55:05:354,109.0,-0.1,0.0,1.0
2022-10-15,11:55:05:415,109.1,-0.1,-0.0,1.0
2022-10-15,11:55:05:472,108.9,-0.1,-0.0,1.0
2022-10-15,11:55:05:534,108.9,-0.1,-0.0,1.0
2022-10-15,11:55:05:592,108.9,-0.1,-0.0,1.0
2022-10-15,11:55:05:653,108.9,-0.1,-0.0,1.0
2022-10-15,11:55:05:715,108.8,-0.1,-0.0,1.0
2022-10-15,11:55:05:773,108.9,-0.1,0.0,1.0
2022-10-15,11:55:05:843,108.9,-0.1,-0.0,1.0
2022-10-15,11:55:05:906,108.9,-0.1,-0.0,1.0
2022-10-15,11:55:05:965,108.8,-0.1,-0.0,1.0
2022-10-15,11:55:06:024,108.9,-0.1,-0.0,1.0
2022-10-15,11:55:06:084,109.0,-0.1,-0.0,1.0
2022-10-15,11:55:06:156,108.9,-0.1,-0.0,1.0
2022-10-15,11:55:06:239,108.7,-0.1,-0.0,1.0
2022-10-15,11:55:06:300,108.8,-0.1,-0.0,1.0
2022-10-15,11:55:06:357,109.0,-0.1,-0.0,1.0
2022-10-15,11:55:06:419,108.9,-0.1,-0.0,1.0
2022-10-15,11:55:06:482,108.1,-0.1,-0.0,1.0
2022-10-15,11:55:06:542,109.2,-0.1,-0.0,1.0
2022-10-15,11:55:06:625,109.3,-0.1,-0.0,1.0
2022-10-15,11:55:06:682,110.0,-0.1,-0.0,1.0
2022-10-15,11:55:06:742,109.6,-0.1,-0.0,1.0
2022-10-15,11:55:06:825,108.9,-0.1,-0.0,1.0
2022-10-15,11:55:06:888,109.2,-0.1,0.0,1.0
2022-10-15,11:55:06:950,109.4,-0.1,-0.0,1.0
2022-10-15,11:55:07:043,109.5,-0.1,-0.0,1.0
2022-10-15,11:55:07:102,109.9,-0.1,0.0,1.0
2022-10-15,11:55:07:161,110.0,-0.1,-0.0,1.0
2022-10-15,11:55:07:223,108.6,-0.1,-0.0,1.0
2022-10-15,11:55:07:280,109.3,-0.1,-0.0,1.0
2022-10-15,11:55:07:340,109.9,-0.0,0.0,1.0
2022-10-15,11:55:07:415,108.5,-0.0,-0.0,1.0
2022-10-15,11:55:07:473,110.4,-0.1,-0.1,1.0
2022-10-15,11:55:07:532,33.4,-0.2,-0.0,1.0
2022-10-15,11:55:07:594,-182.0,-0.1,-0.1,1.1
2022-10-15,11:55:07:654,-294.7,-0.1,-0.1,1.1
2022-10-15,11:55:07:723,-298.1,-0.2,-0.0,1.1
2022-10-15,11:55:07:782,-298.1,-0.2,0.0,1.0
2022-10-15,11:55:07:841,-298.0,-0.1,0.1,1.0
2022-10-15,11:55:07:901,-297.9,-0.0,0.1,1.0
2022-10-15,11:55:07:977,-297.9,-0.2,0.0,1.0
2022-10-15,11:55:08:035,-297.9,-0.2,0.1,1.0
2022-10-15,11:55:08:104,-298.1,0.0,0.0,0.9
2022-10-15,11:55:08:166,-298.5,-0.2,0.1,0.9
2022-10-15,11:55:08:227,-298.4,-0.0,-0.0,0.9
2022-10-15,11:55:08:290,-298.5,-0.0,-0.0,0.9
2022-10-15,11:55:08:347,-298.7,-0.0,-0.1,1.0
2022-10-15,11:55:08:408,-298.5,0.0,-0.1,0.9
2022-10-15,11:55:08:467,-298.6,0.1,-0.1,1.0
2022-10-15,11:55:08:537,-298.6,0.1,-0.2,0.9
2022-10-15,11:55:08:633,-298.5,0.1,-0.1,1.0
2022-10-15,11:55:08:696,-298.7,0.2,-0.2,1.0
2022-10-15,11:55:08:757,-298.7,0.1,-0.1,1.1
2022-10-15,11:55:08:827,-298.2,0.2,-0.2,1.0
2022-10-15,11:55:08:886,-297.6,0.3,-0.2,0.9
2022-10-15,11:55:08:957,-297.8,0.3,-0.2,0.9
2022-10-15,11:55:09:017,-297.9,0.2,-0.2,0.9
2022-10-15,11:55:09:078,-297.8,0.2,-0.2,1.0
2022-10-15,11:55:09:137,-297.6,0.3,-0.3,1.0
2022-10-15,11:55:09:198,-297.7,0.3,-0.2,1.0
2022-10-15,11:55:09:259,-297.7,0.3,-0.3,1.0
2022-10-15,11:55:09:319,-297.7,0.4,-0.3,1.0
2022-10-15,11:55:09:377,-297.6,0.3,-0.3,0.9
2022-10-15,11:55:09:447,-297.7,0.4,-0.3,0.9
2022-10-15,11:55:09:519,-297.7,0.5,-0.3,0.8
2022-10-15,11:55:09:594,-297.8,0.5,-0.4,0.9
2022-10-15,11:55:09:650,-297.7,0.6,-0.3,0.8
2022-10-15,11:55:09:710,-297.6,0.5,-0.4,0.7
2022-10-15,11:55:09:771,-297.6,0.7,-0.4,0.7
2022-10-15,11:55:09:830,-297.7,0.7,-0.4,0.6
2022-10-15,11:55:09:893,-297.8,0.7,-0.4,0.6
2022-10-15,11:55:09:964,-298.3,0.7,-0.4,0.5
2022-10-15,11:55:10:023,-298.2,0.8,-0.5,0.5
2022-10-15,11:55:10:081,-298.3,0.8,-0.5,0.4
2022-10-15,11:55:10:153,-298.3,0.8,-0.5,0.4
2022-10-15,11:55:10:216,-298.2,0.8,-0.5,0.4
2022-10-15,11:55:10:272,-298.3,0.9,-0.5,0.3
2022-10-15,11:55:10:335,-298.3,0.8,-0.5,0.3
2022-10-15,11:55:10:407,-298.2,0.8,-0.5,0.3
2022-10-15,11:55:10:479,-298.3,0.8,-0.5,0.4
2022-10-15,11:55:10:550,-298.2,0.8,-0.5,0.4
2022-10-15,11:55:10:622,-298.2,0.9,-0.5,0.3
2022-10-15,11:55:10:682,-298.2,0.9,-0.5,0.3
2022-10-15,11:55:10:741,-298.1,0.8,-0.5,0.3
2022-10-15,11:55:10:816,-298.2,0.8,-0.5,0.3
2022-10-15,11:55:10:873,-298.2,0.9,-0.5,0.3
2022-10-15,11:55:10:936,-298.1,0.8,-0.5,0.3
2022-10-15,11:55:10:993,-298.2,0.9,-0.5,0.3
2022-10-15,11:55:11:054,-298.2,0.9,-0.5,0.2
2022-10-15,11:55:11:123,-298.1,0.9,-0.5,0.3
2022-10-15,11:55:11:186,-298.2,0.8,-0.5,0.3
2022-10-15,11:55:11:245,-298.2,0.8,-0.5,0.4
2022-10-15,11:55:11:304,-298.1,0.8,-0.5,0.4
2022-10-15,11:55:11:363,-298.0,0.7,-0.5,0.5
2022-10-15,11:55:11:423,-298.2,0.7,-0.5,0.5
2022-10-15,11:55:11:485,-298.0,0.7,-0.5,0.6
2022-10-15,11:55:11:555,-298.0,0.6,-0.5,0.7
2022-10-15,11:55:11:629,-298.0,0.7,-0.5,0.7
2022-10-15,11:55:11:686,-298.0,0.6,-0.4,0.7
2022-10-15,11:55:11:746,-298.1,0.5,-0.3,0.8
2022-10-15,11:55:11:807,-298.0,0.4,-0.3,0.8
2022-10-15,11:55:11:866,-297.9,0.3,-0.2,0.9
2022-10-15,11:55:11:929,-297.8,0.3,-0.2,0.9
2022-10-15,11:55:11:988,-297.8,0.2,-0.1,0.9
2022-10-15,11:55:12:047,-297.8,0.1,-0.1,1.0
2022-10-15,11:55:12:108,-297.8,0.2,-0.2,0.9
2022-10-15,11:55:12:177,-297.7,-0.0,-0.1,1.0
2022-10-15,11:55:12:249,-297.5,0.0,-0.1,1.0
2022-10-15,11:55:12:310,-297.5,0.1,-0.2,0.9
2022-10-15,11:55:12:371,-297.5,-0.1,-0.2,1.0
2022-10-15,11:55:12:430,-297.6,0.0,-0.1,1.0
2022-10-15,11:55:12:490,-297.6,0.0,-0.2,1.0
2022-10-15,11:55:12:550,-297.6,0.0,-0.2,1.0
2022-10-15,11:55:12:610,-297.6,0.0,-0.1,1.0
2022-10-15,11:55:12:672,-297.7,0.0,-0.1,1.0
2022-10-15,11:55:12:728,-297.7,0.0,-0.2,1.0
2022-10-15,11:55:12:789,-297.8,0.1,-0.2,1.0
2022-10-15,11:55:12:862,-297.7,0.0,-0.2,1.0
2022-10-15,11:55:12:922,-297.7,0.1,-0.2,1.0
2022-10-15,11:55:12:992,-297.7,0.0,-0.2,1.0
2022-10-15,11:55:13:055,-297.7,0.0,-0.1,1.0
2022-10-15,11:55:13:114,-297.7,0.0,-0.1,1.0
2022-10-15,11:55:13:171,-297.8,-0.0,-0.0,1.0
2022-10-15,11:55:13:233,-297.6,0.0,-0.1,1.0
2022-10-15,11:55:13:304,-297.8,0.0,-0.1,1.0
2022-10-15,11:55:13:366,-298.1,0.0,-0.1,1.0
2022-10-15,11:55:13:423,-259.9,-0.0,-0.1,1.0
2022-10-15,11:55:13:483,-205.9,0.1,-0.1,1.0
2022-10-15,11:55:13:568,-69.8,0.1,0.1,1.0
2022-10-15,11:55:13:627,63.6,-0.1,0.1,1.0
2022-10-15,11:55:13:685,84.2,-0.1,-0.0,1.0
2022-10-15,11:55:13:747,90.3,-0.0,0.0,1.0
2022-10-15,11:55:13:807,69.0,-0.1,0.0,1.0
2022-10-15,11:55:13:866,69.0,-0.0,0.0,1.0
2022-10-15,11:55:13:938,68.7,-0.1,0.0,1.0
2022-10-15,11:55:13:999,69.7,-0.0,-0.0,1.0
2022-10-15,11:55:14:057,69.1,-0.1,0.0,1.0
