date,time,weight[g],accX,accY,accZ
2022-10-15,02:09:25:482,-6.6,-0.0,0.0,1.0
2022-10-15,02:09:25:687,-6.6,-0.0,-0.0,1.0
2022-10-15,02:09:25:779,-6.5,-0.0,-0.0,1.0
2022-10-15,02:09:25:872,-6.5,-0.0,0.0,1.0
2022-10-15,02:09:25:967,-6.5,-0.0,0.0,1.0
2022-10-15,02:09:26:061,-6.6,-0.0,0.0,1.0
2022-10-15,02:09:26:155,-6.5,-0.0,0.0,1.0
2022-10-15,02:09:26:249,-6.5,-0.0,-0.0,1.0
2022-10-15,02:09:26:344,-6.6,-0.0,-0.0,1.0
2022-10-15,02:09:26:438,-6.5,-0.0,0.0,1.0
2022-10-15,02:09:26:533,-6.6,-0.0,0.0,1.0
2022-10-15,02:09:26:626,-6.6,-0.0,0.0,1.0
2022-10-15,02:09:26:721,-6.5,-0.0,0.0,1.0
2022-10-15,02:09:26:815,-6.5,-0.0,-0.0,1.0
2022-10-15,02:09:26:908,-6.5,-0.0,0.0,1.0
2022-10-15,02:09:27:004,-6.5,-0.0,0.0,1.0
2022-10-15,02:09:27:097,-6.5,-0.0,-0.0,1.0
2022-10-15,02:09:27:192,621.8,-0.0,0.0,1.0
2022-10-15,02:09:27:286,-6.5,-0.0,0.0,1.0
2022-10-15,02:09:27:381,-6.4,-0.0,0.0,1.0
2022-10-15,02:09:27:475,-6.5,-0.0,0.0,1.0
2022-10-15,02:09:27:569,-6.3,-0.0,-0.0,1.0
2022-10-15,02:09:27:664,-4.0,-0.0,-0.0,1.0
2022-10-15,02:09:27:758,-6.2,-0.1,-0.1,1.0
2022-10-15,02:09:27:852,-17.0,0.1,0.1,1.0
2022-10-15,02:09:27:946,-191.5,-0.2,0.1,1.3
2022-10-15,02:09:28:040,-296.9,-0.2,-0.1,1.1
2022-10-15,02:09:28:134,-297.2,-0.0,-0.0,1.1
2022-10-15,02:09:28:228,-297.2,0.2,-0.1,0.9
2022-10-15,02:09:28:324,-297.1,0.3,-0.0,0.9
2022-10-15,02:09:28:418,-297.0,0.3,-0.0,0.9
2022-10-15,02:09:28:512,-297.0,0.3,-0.1,0.9
2022-10-15,02:09:28:606,-297.2,0.2,-0.1,0.9
2022-10-15,02:09:28:700,-297.5,0.3,-0.2,0.9
2022-10-15,02:09:28:793,-297.9,0.2,-0.1,1.0
2022-10-15,02:09:28:887,-297.9,0.3,0.0,1.1
2022-10-15,02:09:28:981,-297.8,0.3,-0.1,1.0
2022-10-15,02:09:29:077,-298.0,0.4,-0.1,0.9
2022-10-15,02:09:29:171,-298.0,0.5,-0.0,0.8
2022-10-15,02:09:29:265,-297.6,0.4,-0.0,0.8
2022-10-15,02:09:29:359,-297.8,0.3,0.1,0.9
2022-10-15,02:09:29:454,-300.2,0.3,0.0,0.8
2022-10-15,02:09:29:548,-299.6,-0.1,0.0,1.1
2022-10-15,02:09:29:643,-296.3,-0.1,0.1,1.1
2022-10-15,02:09:29:737,-295.3,0.0,-0.1,1.0
2022-10-15,02:09:29:832,-295.1,0.0,0.0,1.1
2022-10-15,02:09:29:927,-294.2,0.1,-0.0,1.0
2022-10-15,02:09:30:021,-293.2,-0.1,0.0,1.1
2022-10-15,02:09:30:115,-292.5,-0.0,0.0,1.0
2022-10-15,02:09:30:210,-292.8,-0.0,0.1,1.0
2022-10-15,02:09:30:303,-292.5,-0.1,0.0,1.0
2022-10-15,02:09:30:398,-292.6,0.0,0.0,1.0
2022-10-15,02:09:30:480,-292.8,-0.0,0.1,1.0
2022-10-15,02:09:30:575,-292.7,-0.0,0.0,1.0
2022-10-15,02:09:30:670,-292.8,-0.0,0.1,1.0
2022-10-15,02:09:30:764,-292.6,-0.0,-0.1,0.9
2022-10-15,02:09:30:859,-292.9,-0.1,0.0,1.0
2022-10-15,02:09:30:953,-292.5,-0.1,0.0,1.0
2022-10-15,02:09:31:047,-292.8,-0.0,0.0,1.0
2022-10-15,02:09:31:141,-292.7,-0.0,0.0,1.0
2022-10-15,02:09:31:235,-292.7,-0.0,0.0,1.0
2022-10-15,02:09:31:329,-292.8,-0.0,0.0,1.0
2022-10-15,02:09:31:424,-292.9,-0.0,0.0,1.0
2022-10-15,02:09:31:518,-292.9,-0.0,0.0,1.0
2022-10-15,02:09:31:612,-292.8,-0.0,0.0,1.0
2022-10-15,02:09:31:706,-292.8,-0.0,0.0,1.0
2022-10-15,02:09:31:801,-292.6,-0.0,0.0,1.0
2022-10-15,02:09:31:896,-292.6,-0.0,0.0,1.0
2022-10-15,02:09:31:990,-292.5,-0.0,0.0,1.0
2022-10-15,02:09:32:084,-292.5,0.0,0.0,1.0
2022-10-15,02:09:32:179,-292.6,-0.1,-0.0,1.0
2022-10-15,02:09:32:272,-292.5,-0.0,0.0,1.0
2022-10-15,02:09:32:367,-292.4,-0.0,0.0,1.0
2022-10-15,02:09:32:461,-292.6,-0.0,-0.0,1.0
2022-10-15,02:09:32:555,-292.3,-0.0,0.1,1.0
2022-10-15,02:09:32:650,-292.4,-0.0,0.2,1.1
2022-10-15,02:09:32:743,-292.3,-0.1,0.0,1.0
2022-10-15,02:09:32:838,-292.3,-0.0,0.1,0.9
2022-10-15,02:09:32:933,-292.4,-0.0,0.1,1.0
2022-10-15,02:09:33:026,-292.2,0.0,0.2,0.8
2022-10-15,02:09:33:121,-292.3,-0.0,0.1,1.1
2022-10-15,02:09:33:215,-292.2,-0.0,0.2,1.0
2022-10-15,02:09:33:308,-292.2,0.0,0.1,1.0
2022-10-15,02:09:33:403,-292.3,-0.0,0.1,1.0
2022-10-15,02:09:33:497,-292.2,0.0,0.1,1.0
2022-10-15,02:09:33:592,-292.3,0.0,0.1,1.0
2022-10-15,02:09:33:686,-292.2,-0.0,0.1,1.0
2022-10-15,02:09:33:780,-292.3,0.0,0.1,1.0
2022-10-15,02:09:33:874,-292.2,0.0,0.1,1.0
2022-10-15,02:09:33:969,-292.2,0.0,0.1,1.0
2022-10-15,02:09:34:064,-292.3,0.0,0.1,1.0
2022-10-15,02:09:34:158,-292.2,-0.0,0.1,1.0
2022-10-15,02:09:34:252,-292.2,0.0,0.1,1.0
2022-10-15,02:09:34:346,-292.2,0.0,0.1,1.0
2022-10-15,02:09:34:439,-292.2,0.0,0.2,0.8
2022-10-15,02:09:34:534,-291.9,-0.0,0.1,1.0
2022-10-15,02:09:34:628,-292.0,-0.0,0.1,1.0
2022-10-15,02:09:34:722,-292.0,0.0,0.1,1.0
2022-10-15,02:09:34:816,-291.9,-0.0,0.1,1.0
2022-10-15,02:09:34:911,-291.9,-0.0,0.1,1.0
2022-10-15,02:09:35:006,-291.9,-0.0,0.1,1.0
