date,time,weight[g],accX,accY,accZ
2022-10-15,02:45:08:317,1.9,-0.0,-0.0,1.0
2022-10-15,02:45:08:475,2.0,-0.0,-0.0,1.0
2022-10-15,02:45:08:568,1.9,-0.0,-0.0,1.0
2022-10-15,02:45:08:663,1.9,-0.0,-0.0,1.0
2022-10-15,02:45:08:758,2.0,-0.0,-0.0,1.0
2022-10-15,02:45:08:852,2.0,-0.0,0.0,1.0
2022-10-15,02:45:08:946,2.1,-0.0,-0.0,1.0
2022-10-15,02:45:09:041,2.0,-0.0,-0.0,1.0
2022-10-15,02:45:09:136,2.1,-0.0,-0.0,1.0
2022-10-15,02:45:09:230,2.0,-0.2,0.0,1.0
2022-10-15,02:45:09:324,-19.1,-0.2,-0.1,1.0
2022-10-15,02:45:09:419,-187.7,-0.3,0.0,1.2
2022-10-15,02:45:09:513,-296.8,-0.2,-0.2,0.9
2022-10-15,02:45:09:607,-296.9,0.0,0.0,1.0
2022-10-15,02:45:09:701,-296.9,0.1,0.1,1.0
2022-10-15,02:45:09:795,-296.8,0.0,0.1,1.0
2022-10-15,02:45:09:888,-296.9,0.0,0.0,1.0
2022-10-15,02:45:09:983,-296.8,0.1,0.1,1.0
2022-10-15,02:45:10:077,-296.9,0.2,0.1,1.0
2022-10-15,02:45:10:171,-297.2,0.1,0.1,1.0
2022-10-15,02:45:10:266,-297.2,0.1,0.1,1.0
2022-10-15,02:45:10:359,-297.2,0.1,0.2,1.0
2022-10-15,02:45:10:454,-297.2,0.0,0.1,1.0
2022-10-15,02:45:10:549,-297.2,-0.0,0.1,1.0
2022-10-15,02:45:10:643,-297.2,0.0,-0.1,1.0
2022-10-15,02:45:10:737,-297.2,-0.0,0.1,0.9
2022-10-15,02:45:10:831,-297.3,0.0,0.1,1.0
2022-10-15,02:45:10:925,-297.4,0.0,0.1,1.0
2022-10-15,02:45:11:020,-297.3,0.0,0.1,1.0
2022-10-15,02:45:11:114,-297.1,0.0,0.1,1.0
2022-10-15,02:45:11:208,-297.1,0.0,0.1,1.0
2022-10-15,02:45:11:302,-297.1,0.0,0.1,1.0
2022-10-15,02:45:11:396,-297.3,0.0,0.1,1.0
2022-10-15,02:45:11:491,-297.2,0.0,0.1,1.0
2022-10-15,02:45:11:585,-297.3,0.1,0.1,1.0
2022-10-15,02:45:11:679,-297.4,0.0,0.2,0.9
2022-10-15,02:45:11:773,-297.4,0.0,0.2,1.0
2022-10-15,02:45:11:867,-297.5,0.1,0.2,1.0
2022-10-15,02:45:11:962,-297.4,0.1,0.1,0.9
2022-10-15,02:45:12:055,-297.5,0.1,0.1,0.9
2022-10-15,02:45:12:149,-297.3,0.1,0.1,1.2
2022-10-15,02:45:12:244,-296.9,0.1,0.2,1.0
2022-10-15,02:45:12:338,-297.0,0.1,0.2,0.9
2022-10-15,02:45:12:432,-297.0,0.1,0.3,1.0
2022-10-15,02:45:12:526,-297.0,0.1,0.2,1.0
2022-10-15,02:45:12:621,-297.1,0.1,0.2,1.0
2022-10-15,02:45:12:715,-297.2,0.1,0.2,1.0
2022-10-15,02:45:12:809,-297.1,0.1,0.2,1.0
2022-10-15,02:45:12:903,-297.2,0.1,0.2,0.9
2022-10-15,02:45:12:997,-297.0,0.1,0.3,1.0
2022-10-15,02:45:13:092,-297.1,0.1,0.2,1.0
2022-10-15,02:45:13:186,-297.0,0.1,0.2,1.0
2022-10-15,02:45:13:281,-297.1,0.1,0.2,1.0
2022-10-15,02:45:13:375,-297.0,0.1,0.2,0.9
2022-10-15,02:45:13:469,-297.1,0.0,0.2,1.0
2022-10-15,02:45:13:564,-297.0,0.0,0.0,1.1
2022-10-15,02:45:13:658,-296.9,0.0,0.1,1.0
2022-10-15,02:45:13:752,-297.0,0.0,0.2,1.0
2022-10-15,02:45:13:846,-296.9,0.0,0.1,1.0
2022-10-15,02:45:13:940,-297.0,-0.0,0.1,1.0
2022-10-15,02:45:14:034,-296.9,0.0,0.1,1.0
2022-10-15,02:45:14:129,-297.1,-0.0,0.1,1.0
2022-10-15,02:45:14:223,-297.2,-0.0,0.1,1.0
2022-10-15,02:45:14:318,-297.5,-0.0,0.0,1.0
2022-10-15,02:45:14:411,-297.7,0.0,0.0,1.0
2022-10-15,02:45:14:506,-298.0,0.0,0.0,1.0
2022-10-15,02:45:14:600,-298.5,0.0,0.0,1.0
2022-10-15,02:45:14:695,-298.9,0.0,0.0,1.0
2022-10-15,02:45:14:789,-299.6,0.0,0.0,1.0
2022-10-15,02:45:14:884,-299.3,0.1,0.1,1.0
2022-10-15,02:45:14:977,-300.1,0.1,0.0,1.0
2022-10-15,02:45:15:072,-300.3,0.0,-0.1,0.9
2022-10-15,02:45:15:166,-297.1,-0.0,-0.1,0.9
2022-10-15,02:45:15:261,-297.5,0.0,-0.1,0.9
2022-10-15,02:45:15:355,-297.4,-0.0,-0.1,1.0
2022-10-15,02:45:15:449,-297.5,0.1,-0.1,1.0
2022-10-15,02:45:15:544,-297.5,-0.0,-0.1,1.0
2022-10-15,02:45:15:639,-297.4,-0.0,-0.1,1.0
2022-10-15,02:45:15:733,-297.3,-0.1,-0.1,1.1
2022-10-15,02:45:15:828,-297.2,-0.0,-0.1,1.0
2022-10-15,02:45:15:922,-256.3,-0.1,-0.1,1.0
2022-10-15,02:45:16:017,-154.4,-0.1,0.4,1.3
2022-10-15,02:45:16:111,130.5,-0.1,-0.0,1.0
2022-10-15,02:45:16:206,220.8,0.0,-0.0,1.0
2022-10-15,02:45:16:300,216.6,-0.1,0.0,1.0
2022-10-15,02:45:16:395,218.0,-0.0,0.0,1.0
2022-10-15,02:45:16:489,217.0,-0.0,0.0,1.0
2022-10-15,02:45:16:584,217.7,-0.1,0.0,1.0
2022-10-15,02:45:16:678,217.4,-0.0,0.0,1.0
2022-10-15,02:45:16:773,217.1,-0.0,0.0,1.0
2022-10-15,02:45:16:867,218.0,-0.0,0.0,1.0
2022-10-15,02:45:16:962,217.4,-0.0,0.0,1.0
2022-10-15,02:45:17:057,217.4,-0.0,0.0,1.0
2022-10-15,02:45:17:151,217.9,-0.0,0.0,1.0
2022-10-15,02:45:17:246,217.3,-0.0,0.0,1.0
2022-10-15,02:45:17:340,217.2,-0.1,0.0,1.0
2022-10-15,02:45:17:435,217.5,-0.1,0.0,1.0
2022-10-15,02:45:17:528,217.2,-0.0,0.0,1.0
2022-10-15,02:45:17:622,217.6,-0.1,0.0,1.0
2022-10-15,02:45:17:716,217.7,-0.0,0.0,1.0
