date,time,weight[g],accX,accY,accZ
2022-10-15,03:31:36:712,90.0,-0.0,-0.0,1.0
2022-10-15,03:31:36:842,89.9,-0.1,-0.0,1.0
2022-10-15,03:31:36:892,89.8,-0.1,-0.0,1.0
2022-10-15,03:31:36:951,89.9,-0.1,-0.0,1.0
2022-10-15,03:31:37:010,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:37:070,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:37:132,89.9,-0.1,-0.0,1.0
2022-10-15,03:31:37:191,90.0,-0.0,-0.0,1.0
2022-10-15,03:31:37:249,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:37:311,90.0,-0.0,-0.0,1.0
2022-10-15,03:31:37:370,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:37:431,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:37:501,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:37:561,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:37:623,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:37:696,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:37:779,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:37:840,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:37:897,90.0,-0.0,-0.0,1.0
2022-10-15,03:31:37:969,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:38:041,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:38:102,90.0,-0.0,-0.0,1.0
2022-10-15,03:31:38:161,89.9,-0.1,-0.0,1.0
2022-10-15,03:31:38:236,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:38:295,90.0,-0.1,-0.0,1.0
2022-10-15,03:31:38:364,90.1,-0.0,-0.0,1.0
2022-10-15,03:31:38:425,89.9,-0.0,-0.0,1.0
2022-10-15,03:31:38:499,90.0,0.0,-0.1,1.0
2022-10-15,03:31:38:559,96.4,0.0,-0.1,1.0
2022-10-15,03:31:38:680,115.9,-0.1,0.1,1.0
2022-10-15,03:31:38:737,85.4,-0.1,0.0,1.0
2022-10-15,03:31:38:797,-175.6,-0.1,0.1,1.2
2022-10-15,03:31:38:870,-295.3,-0.2,0.1,1.2
2022-10-15,03:31:38:931,-295.8,-0.3,0.0,1.1
2022-10-15,03:31:38:989,-295.8,-0.0,-0.0,1.1
2022-10-15,03:31:39:060,-295.8,-0.0,-0.0,1.0
2022-10-15,03:31:39:121,-296.0,-0.0,-0.1,0.9
2022-10-15,03:31:39:181,-296.1,-0.1,-0.1,1.0
2022-10-15,03:31:39:241,-296.0,0.0,-0.1,0.9
2022-10-15,03:31:39:313,-296.2,0.2,-0.1,0.9
2022-10-15,03:31:39:373,-297.2,0.2,-0.2,0.9
2022-10-15,03:31:39:435,-297.7,0.2,-0.1,1.0
2022-10-15,03:31:39:493,-297.3,0.1,-0.2,0.9
2022-10-15,03:31:39:563,-297.1,0.1,-0.2,0.9
2022-10-15,03:31:39:623,-296.8,0.2,-0.1,1.0
2022-10-15,03:31:39:685,-296.7,0.1,-0.1,0.9
2022-10-15,03:31:39:746,-296.6,0.1,-0.1,1.0
2022-10-15,03:31:39:804,-297.0,0.1,-0.1,1.0
2022-10-15,03:31:39:866,-296.8,0.2,-0.1,0.9
2022-10-15,03:31:39:925,-296.7,0.2,-0.1,0.9
2022-10-15,03:31:39:996,-296.5,0.3,-0.1,1.0
2022-10-15,03:31:40:091,-296.7,0.3,-0.1,0.9
2022-10-15,03:31:40:152,-296.6,0.3,-0.1,1.0
2022-10-15,03:31:40:213,-296.6,0.4,-0.1,0.9
2022-10-15,03:31:40:284,-296.6,0.5,-0.1,1.0
2022-10-15,03:31:40:345,-296.6,0.4,-0.0,1.0
2022-10-15,03:31:40:404,-296.5,0.5,-0.1,1.0
2022-10-15,03:31:40:464,-296.5,0.4,-0.1,0.9
2022-10-15,03:31:40:547,-296.5,0.5,-0.1,1.0
2022-10-15,03:31:40:619,-296.5,0.4,-0.1,0.9
2022-10-15,03:31:40:681,-296.5,0.4,-0.1,0.9
