date,time,weight[g],accX,accY,accZ
2022-10-14,02:55:52:446,166.6,-0.0,-0.0,1.0
2022-10-14,02:55:52:595,166.7,-0.0,-0.0,1.0
2022-10-14,02:55:52:689,166.6,-0.0,-0.0,1.0
2022-10-14,02:55:52:784,166.5,-0.0,-0.0,1.0
2022-10-14,02:55:52:876,166.6,-0.0,-0.0,1.0
2022-10-14,02:55:52:970,166.5,-0.0,-0.0,1.0
2022-10-14,02:55:53:064,170.4,-0.1,-0.0,1.0
2022-10-14,02:55:53:157,174.2,-0.2,0.0,1.0
2022-10-14,02:55:53:251,176.5,-0.0,0.0,1.0
2022-10-14,02:55:53:343,-5.5,-0.2,0.0,1.1
2022-10-14,02:55:53:438,-285.4,-0.1,0.0,1.2
2022-10-14,02:55:53:530,-296.9,-0.3,-0.1,1.0
2022-10-14,02:55:53:622,-297.1,-0.0,-0.0,1.0
2022-10-14,02:55:53:717,-297.3,0.1,-0.1,0.8
2022-10-14,02:55:53:810,-297.2,0.3,-0.1,0.9
2022-10-14,02:55:53:904,-297.3,0.4,-0.0,0.8
2022-10-14,02:55:53:999,-297.2,0.5,0.0,0.9
2022-10-14,02:55:54:092,-297.2,0.5,-0.0,0.9
2022-10-14,02:55:54:184,-297.3,0.5,-0.1,0.8
2022-10-14,02:55:54:279,-297.3,0.7,-0.1,0.8
2022-10-14,02:55:54:372,-297.3,0.6,-0.1,0.7
2022-10-14,02:55:54:469,-297.3,0.7,-0.1,0.6
2022-10-14,02:55:54:561,-297.4,0.9,-0.1,0.5
2022-10-14,02:55:54:656,-297.3,0.9,-0.1,0.4
2022-10-14,02:55:54:750,-297.3,0.9,-0.1,0.4
2022-10-14,02:55:54:842,-297.3,0.9,-0.1,0.4
2022-10-14,02:55:54:936,-297.2,1.0,-0.1,0.3
2022-10-14,02:55:55:028,-297.3,0.9,-0.2,0.4
2022-10-14,02:55:55:122,-297.3,0.9,-0.1,0.5
2022-10-14,02:55:55:215,-297.4,0.8,-0.1,0.6
2022-10-14,02:55:55:308,-297.3,0.8,-0.1,0.6
2022-10-14,02:55:55:402,-297.3,0.8,-0.1,0.7
2022-10-14,02:55:55:495,-297.3,0.7,-0.1,0.7
2022-10-14,02:55:55:589,-297.2,0.6,-0.0,0.8
2022-10-14,02:55:55:682,-297.3,0.3,-0.1,0.9
2022-10-14,02:55:55:775,-297.3,0.3,-0.1,0.9
2022-10-14,02:55:55:871,-297.3,0.2,-0.2,0.9
2022-10-14,02:55:55:963,-297.3,0.2,-0.1,1.0
2022-10-14,02:55:56:057,-297.2,0.3,-0.1,1.0
2022-10-14,02:55:56:151,-297.3,0.1,-0.1,1.1
2022-10-14,02:55:56:243,-297.2,-0.1,-0.1,1.1
2022-10-14,02:55:56:335,-297.3,-0.1,-0.1,1.0
2022-10-14,02:55:56:430,-297.4,-0.2,-0.1,1.0
2022-10-14,02:55:56:523,-297.2,0.0,-0.0,1.0
2022-10-14,02:55:56:616,-297.1,-0.1,0.1,1.0
2022-10-14,02:55:56:709,-228.1,-0.0,-0.1,0.9
2022-10-14,02:55:56:804,-142.5,-0.1,0.1,1.0
2022-10-14,02:55:56:898,75.3,-0.1,0.0,1.0
2022-10-14,02:55:56:993,152.6,-0.1,0.0,1.0
2022-10-14,02:55:57:087,160.2,0.0,-0.0,1.0
2022-10-14,02:55:57:181,142.7,-0.1,-0.0,1.0
2022-10-14,02:55:57:276,143.6,-0.0,0.0,1.0
2022-10-14,02:55:57:369,144.7,-0.1,0.0,1.0
2022-10-14,02:55:57:462,142.6,-0.0,-0.0,1.0
2022-10-14,02:55:57:556,143.7,-0.1,0.0,1.0
2022-10-14,02:55:57:648,143.7,-0.1,0.0,1.0
2022-10-14,02:55:57:741,142.4,-0.0,0.0,1.0
2022-10-14,02:55:57:834,143.8,-0.0,0.0,1.0
2022-10-14,02:55:57:928,143.7,-0.0,-0.0,1.0
2022-10-14,02:55:58:022,142.7,-0.0,-0.0,1.0
