date,time,weight[g],accX,accY,accZ
2022-10-14,02:48:06:303,-0.2,-0.1,0.0,1.0
2022-10-14,02:48:06:442,0.0,-0.1,0.0,1.0
2022-10-14,02:48:06:534,-0.2,-0.1,0.0,1.0
2022-10-14,02:48:06:626,0.0,-0.1,0.0,1.0
2022-10-14,02:48:06:721,-0.1,-0.0,0.0,1.0
2022-10-14,02:48:06:815,-0.1,-0.1,0.0,1.0
2022-10-14,02:48:06:907,-0.1,-0.1,0.0,1.0
2022-10-14,02:48:07:001,-0.0,-0.0,0.0,1.0
2022-10-14,02:48:07:095,-0.0,-0.0,0.0,1.0
2022-10-14,02:48:07:188,0.0,-0.1,0.0,1.0
2022-10-14,02:48:07:281,0.0,-0.2,-0.1,1.0
2022-10-14,02:48:07:375,-3.8,-0.3,-0.1,0.9
2022-10-14,02:48:07:467,-191.5,-0.2,0.1,1.3
2022-10-14,02:48:07:562,-297.2,-0.2,0.0,1.1
2022-10-14,02:48:07:655,-297.2,-0.0,-0.1,1.0
2022-10-14,02:48:07:749,-297.3,-0.1,0.0,1.0
2022-10-14,02:48:07:843,-297.3,-0.0,-0.1,1.0
2022-10-14,02:48:07:937,-297.2,0.1,0.0,1.0
2022-10-14,02:48:08:031,-297.3,-0.0,-0.0,1.0
2022-10-14,02:48:08:123,-297.2,-0.1,-0.1,1.0
2022-10-14,02:48:08:217,-297.4,-0.0,-0.1,0.9
2022-10-14,02:48:08:311,-297.4,0.0,-0.0,0.9
2022-10-14,02:48:08:404,-297.3,-0.0,-0.0,0.9
2022-10-14,02:48:08:496,-297.4,-0.2,-0.1,0.8
2022-10-14,02:48:08:591,-297.4,-0.1,-0.1,0.9
2022-10-14,02:48:08:682,-297.4,-0.1,-0.1,0.9
2022-10-14,02:48:08:774,-297.3,-0.0,-0.1,0.9
2022-10-14,02:48:08:868,-297.3,0.1,-0.1,0.9
2022-10-14,02:48:08:960,-297.3,-0.1,-0.2,1.0
2022-10-14,02:48:09:054,-297.3,0.3,-0.1,0.9
2022-10-14,02:48:09:147,-297.4,0.3,-0.1,1.0
2022-10-14,02:48:09:240,-297.4,0.2,0.0,1.0
2022-10-14,02:48:09:334,-297.3,0.4,0.3,1.2
2022-10-14,02:48:09:427,-297.3,0.6,0.4,1.2
2022-10-14,02:48:09:520,-297.3,0.4,0.3,1.2
2022-10-14,02:48:09:613,-297.4,0.3,0.2,1.1
2022-10-14,02:48:09:707,-297.2,0.1,-0.0,1.1
2022-10-14,02:48:09:800,-297.3,-0.0,-0.6,0.8
2022-10-14,02:48:09:895,-297.3,0.1,-0.5,0.8
2022-10-14,02:48:09:989,-297.4,0.1,-0.2,1.0
2022-10-14,02:48:10:082,-297.3,-0.0,-0.4,0.8
2022-10-14,02:48:10:175,-297.3,0.1,-0.5,0.7
2022-10-14,02:48:10:270,-297.4,0.1,-0.5,0.8
2022-10-14,02:48:10:364,-297.3,-0.2,-0.5,0.9
2022-10-14,02:48:10:456,-297.4,-0.1,-0.4,1.0
2022-10-14,02:48:10:550,-297.2,-0.1,-0.3,1.0
2022-10-14,02:48:10:643,-297.4,0.0,-0.2,0.9
2022-10-14,02:48:10:737,-297.3,0.0,-0.1,1.0
2022-10-14,02:48:10:831,-297.3,-0.0,-0.1,1.0
2022-10-14,02:48:10:926,-297.3,-0.0,-0.1,1.0
2022-10-14,02:48:11:018,-297.4,-0.1,-0.1,1.0
2022-10-14,02:48:11:112,-297.3,-0.1,-0.2,1.0
2022-10-14,02:48:11:202,-297.2,-0.1,-0.1,1.1
2022-10-14,02:48:11:299,-297.3,0.0,-0.0,1.0
2022-10-14,02:48:11:392,-295.4,-0.0,-0.1,1.0
2022-10-14,02:48:11:486,-217.9,-0.1,-0.2,0.9
2022-10-14,02:48:11:580,-148.9,-0.1,-0.0,1.0
2022-10-14,02:48:11:673,-40.7,-0.1,0.0,1.0
2022-10-14,02:48:11:768,31.9,-0.0,0.0,1.0
2022-10-14,02:48:11:861,1.1,-0.0,-0.0,1.0
2022-10-14,02:48:11:955,0.8,-0.1,0.0,1.0
2022-10-14,02:48:12:048,-1.0,0.0,-0.0,1.0
2022-10-14,02:48:12:142,-0.5,-0.1,0.0,1.0
2022-10-14,02:48:12:234,-0.5,-0.0,-0.0,1.0
2022-10-14,02:48:12:329,-1.3,-0.0,-0.0,1.0
2022-10-14,02:48:12:421,-0.6,-0.1,0.0,1.0
2022-10-14,02:48:12:513,-0.6,-0.0,0.0,1.0
2022-10-14,02:48:12:608,-1.2,-0.0,0.0,1.0
2022-10-14,02:48:12:702,0.3,-0.1,0.0,1.0
2022-10-14,02:48:12:794,-1.3,-0.0,0.0,1.0
2022-10-14,02:48:12:889,-0.5,-0.0,0.0,1.0
2022-10-14,02:48:12:982,-1.0,-0.1,0.0,1.0
