date,time,weight[g],accX,accY,accZ
2022-10-15,02:16:46:156,64.9,-0.0,-0.0,1.0
2022-10-15,02:16:46:253,64.9,-0.0,-0.0,1.0
2022-10-15,02:16:46:302,64.9,-0.0,-0.0,1.0
2022-10-15,02:16:46:362,64.8,-0.0,-0.0,1.0
2022-10-15,02:16:46:421,64.9,-0.0,-0.0,1.0
2022-10-15,02:16:46:483,64.8,-0.0,-0.0,1.0
2022-10-15,02:16:46:542,65.0,-0.0,-0.0,1.0
2022-10-15,02:16:46:603,64.8,-0.0,-0.0,1.0
2022-10-15,02:16:46:678,64.9,-0.0,-0.0,1.0
2022-10-15,02:16:46:745,64.9,-0.0,-0.0,1.0
2022-10-15,02:16:46:807,64.9,-0.0,-0.0,1.0
2022-10-15,02:16:46:881,64.9,-0.0,-0.0,1.0
2022-10-15,02:16:46:939,65.0,-0.0,-0.0,1.0
2022-10-15,02:16:47:001,65.0,-0.0,-0.0,1.0
2022-10-15,02:16:47:058,64.9,-0.0,-0.0,1.0
2022-10-15,02:16:47:117,64.9,-0.0,-0.0,1.0
2022-10-15,02:16:47:178,64.9,-0.1,-0.1,1.0
2022-10-15,02:16:47:252,63.1,-0.0,-0.0,1.0
2022-10-15,02:16:47:311,59.2,-0.0,0.0,1.0
2022-10-15,02:16:47:383,70.9,-0.0,0.1,1.0
2022-10-15,02:16:47:480,28.7,-0.1,0.0,1.0
2022-10-15,02:16:47:562,-195.9,-0.2,-0.0,1.1
2022-10-15,02:16:47:646,-297.1,-0.2,0.2,1.2
2022-10-15,02:16:47:719,-297.2,-0.3,-0.2,1.0
2022-10-15,02:16:47:791,-297.2,-0.3,0.1,1.1
2022-10-15,02:16:47:862,-297.2,0.0,0.1,1.0
2022-10-15,02:16:47:931,-297.3,0.0,-0.1,0.9
2022-10-15,02:16:47:992,-297.3,-0.0,-0.2,1.0
2022-10-15,02:16:48:052,-297.2,-0.3,-0.2,1.0
2022-10-15,02:16:48:114,-297.3,0.2,-0.0,1.0
2022-10-15,02:16:48:184,-297.3,0.1,-0.1,0.9
2022-10-15,02:16:48:246,-297.4,0.2,-0.1,0.9
2022-10-15,02:16:48:305,-297.4,0.1,-0.1,0.9
2022-10-15,02:16:48:366,-297.3,0.1,-0.2,0.9
2022-10-15,02:16:48:423,-297.4,0.2,-0.1,0.8
2022-10-15,02:16:48:484,-297.3,0.3,-0.2,0.9
2022-10-15,02:16:48:546,-297.3,0.3,-0.3,0.8
2022-10-15,02:16:48:615,-297.3,0.4,-0.1,0.9
2022-10-15,02:16:48:676,-297.4,0.5,-0.0,0.9
2022-10-15,02:16:48:738,-297.3,0.4,-0.1,0.9
2022-10-15,02:16:48:794,-297.4,0.5,-0.1,1.0
2022-10-15,02:16:48:856,-297.3,0.6,-0.1,0.9
2022-10-15,02:16:48:916,-297.3,0.6,-0.1,0.9
2022-10-15,02:16:48:999,-297.3,0.5,-0.1,0.9
2022-10-15,02:16:49:060,-297.4,0.5,-0.2,0.8
2022-10-15,02:16:49:120,-297.4,0.8,-0.1,0.8
2022-10-15,02:16:49:178,-297.4,0.7,-0.3,0.6
2022-10-15,02:16:49:240,-297.3,0.7,-0.2,0.7
2022-10-15,02:16:49:323,-297.5,0.8,-0.2,0.6
2022-10-15,02:16:49:386,-297.3,0.8,-0.3,0.5
2022-10-15,02:16:49:458,-297.3,0.9,-0.2,0.6
2022-10-15,02:16:49:514,-297.4,0.9,-0.3,0.4
2022-10-15,02:16:49:576,-297.3,0.9,-0.3,0.4
2022-10-15,02:16:49:635,-297.2,0.9,-0.3,0.4
2022-10-15,02:16:49:697,-297.4,0.8,-0.3,0.4
2022-10-15,02:16:49:757,-297.3,1.0,-0.4,0.3
2022-10-15,02:16:49:815,-297.4,0.9,-0.3,0.3
2022-10-15,02:16:49:876,-297.3,1.0,-0.4,0.2
2022-10-15,02:16:49:936,-297.3,0.9,-0.3,0.2
2022-10-15,02:16:50:008,-297.5,1.0,-0.3,0.2
